pclass,sex,age,sibsp,parch,fare,embarked,survived
2,male,39.4,0,0,70.6,S,0
3,male,14.2,0,0,27.01,C,0
3,female,7.2,0,0,37.7,S,1
3,male,,0,0,55.34,S,0
1,male,35.2,0,0,114.53,C,0
3,female,16.6,1,0,37.97,C,1
3,female,17.1,2,0,79.02,S,0
1,male,46.0,0,0,78.81,S,1
1,male,12.5,3,0,74.02,S,0
3,male,53.5,0,0,58.93,C,0
3,female,16.6,0,0,37.23,S,0
3,female,39.0,0,2,36.49,S,1
1,female,24.9,0,0,77.13,C,0
3,male,38.4,0,0,58.77,S,0
1,female,21.8,0,0,97.1,C,1
1,male,27.3,0,1,74.3,S,1
1,male,,0,0,72.3,S,0
3,male,15.2,0,0,37.19,S,0
3,female,40.4,1,0,40.31,C,0
3,male,22.3,0,0,29.9,S,0
2,female,,0,0,73.43,S,1
3,male,,0,1,37.0,S,0
2,male,,0,1,52.32,S,1
3,male,26.9,1,0,27.03,Q,0
2,male,64.7,0,0,49.91,S,0
2,female,41.1,0,2,98.67,S,0
3,male,,1,0,31.55,Q,0
2,female,25.9,0,1,48.33,S,1
3,female,30.0,0,0,36.11,S,1
3,female,37.6,0,2,31.6,S,1
1,male,12.6,1,0,65.64,C,1
3,male,45.9,0,2,32.03,S,0
2,male,40.1,0,0,59.14,S,1
3,female,40.1,0,0,39.44,S,1
3,female,36.1,0,2,32.94,S,1
3,male,30.0,0,0,35.67,S,1
1,female,39.5,0,0,125.61,S,1
3,male,,0,0,33.53,S,0
3,male,24.6,2,1,30.38,S,0
2,male,21.4,1,2,50.02,S,1
1,female,31.2,0,0,76.02,C,1
3,male,,1,1,50.65,C,0
3,female,,0,0,29.15,C,1
3,female,,0,0,47.24,S,0
3,female,32.1,0,0,25.38,S,1
3,male,,1,0,34.77,S,0
1,male,,1,0,91.92,Q,0
2,male,33.2,0,2,52.44,C,0
2,male,26.5,2,0,59.93,C,0
3,male,51.3,0,0,29.13,S,0
1,female,,1,2,89.39,S,1
3,male,17.7,3,0,25.97,S,0
3,male,28.2,0,1,59.46,S,1
3,male,,1,0,28.98,S,1
2,male,27.2,0,1,82.34,Q,0
3,male,53.8,0,0,32.82,S,0
1,male,30.0,0,2,88.09,S,0
3,female,,0,0,31.92,S,1
1,male,11.4,2,0,107.54,Q,0
2,female,,0,0,47.44,S,1
3,female,,0,0,28.54,S,1
1,male,25.1,1,0,77.23,Q,1
1,female,48.3,3,0,66.54,S,1
3,male,37.8,0,0,28.93,S,0
3,female,13.6,4,0,76.81,S,0
3,male,33.3,0,0,92.51,S,0
3,female,36.9,1,0,33.5,C,0
3,female,46.2,0,0,71.22,C,0
2,female,52.6,0,0,59.17,S,0
2,female,15.0,0,0,50.66,S,0
1,male,17.9,0,0,86.82,S,0
3,male,11.5,0,0,44.36,S,0
3,male,26.3,0,0,106.38,S,0
2,male,,0,1,50.54,S,0
3,female,44.0,1,0,45.07,S,1
3,male,28.6,0,0,25.96,C,0
1,female,25.1,0,0,67.17,S,0
3,male,,0,0,25.07,S,1
3,female,17.6,0,0,160.45,S,0
3,male,,1,0,54.18,C,0
1,female,6.4,1,0,92.81,S,1
3,female,32.4,0,0,37.83,S,1
3,male,,0,0,31.42,S,0
3,male,29.8,1,0,27.95,C,0
3,female,26.9,0,0,31.03,S,1
3,male,24.5,1,0,33.49,C,0
3,male,27.1,0,2,50.41,Q,1
1,male,49.6,1,0,78.96,C,1
3,male,1.0,0,0,26.45,S,0
3,male,51.9,0,2,25.33,S,0
2,male,9.1,3,0,46.94,S,1
3,male,,0,0,34.51,Q,0
3,male,23.5,0,1,73.71,S,0
3,female,38.2,0,1,43.26,S,0
3,male,,0,0,54.13,S,0
1,female,36.4,0,0,76.31,S,1
3,male,59.1,0,0,33.08,S,1
3,male,,0,2,27.07,S,0
1,male,32.5,0,0,102.56,S,1
3,male,20.1,1,0,52.51,C,0
3,male,35.9,0,1,28.31,S,0
3,male,,0,0,37.92,S,0
3,male,20.4,0,0,37.03,S,0
2,male,36.8,0,0,62.66,S,0
1,female,55.9,0,0,117.6,C,1
2,male,26.9,0,1,60.61,S,0
3,male,40.1,0,0,38.99,S,0
1,female,10.9,0,1,65.93,S,1
2,male,15.8,0,0,46.17,Q,1
2,male,36.5,0,0,48.73,S,0
3,female,,0,2,25.59,C,0
3,male,34.9,0,0,49.48,S,0
2,female,,0,0,68.13,S,1
2,female,,0,0,47.63,S,1
3,male,,1,1,57.55,C,0
3,male,,0,0,28.03,S,0
1,male,42.5,0,0,71.45,Q,1
3,male,23.1,0,0,30.15,S,0
1,male,22.9,0,0,73.38,S,1
1,female,33.6,0,1,70.29,S,1
3,male,23.4,0,0,37.08,C,0
2,male,,1,0,54.42,S,0
3,female,60.1,0,0,102.58,C,1
2,female,,3,0,46.04,Q,0
3,male,24.5,0,2,27.76,Q,1
3,male,20.3,0,0,25.98,S,0
1,male,,0,2,82.7,S,1
3,male,27.1,0,0,26.01,C,0
1,male,20.3,0,0,97.59,S,0
3,male,48.9,0,2,37.91,S,0
1,female,50.3,0,0,78.48,S,0
2,male,21.0,2,0,59.84,S,1
1,male,2.6,1,2,68.37,S,1
3,male,44.3,0,0,28.96,S,0
3,male,19.8,0,0,31.91,S,0
3,female,,0,0,41.2,S,1
1,female,1.1,0,0,69.25,S,1
3,female,,0,0,27.23,S,0
1,male,12.1,0,0,128.19,S,1
3,male,40.3,0,0,25.4,S,0
1,male,29.9,0,1,94.21,S,1
1,male,15.9,4,0,92.92,S,0
1,male,23.8,1,0,71.35,S,0
3,female,39.7,2,0,27.62,C,0
3,male,31.2,0,0,27.83,S,0
1,male,38.2,0,0,86.52,C,1
3,male,58.4,0,1,43.53,S,0
3,male,7.0,0,0,52.48,S,0
3,male,53.1,0,1,74.9,S,0
2,female,31.2,0,2,66.19,S,0
2,female,16.7,0,0,48.05,S,0
3,female,10.4,0,0,30.02,S,0
1,male,27.0,0,0,98.23,S,0
1,male,43.1,0,0,69.23,S,1
3,male,27.9,0,1,26.36,S,0
3,male,51.6,0,2,46.87,Q,0
2,female,8.7,0,0,54.27,S,1
2,male,,0,0,90.47,S,0
3,male,11.5,3,2,43.91,S,0
2,male,,0,2,46.71,S,0
1,male,42.6,1,0,118.17,C,0
1,female,23.6,0,0,70.38,S,1
3,male,,0,0,32.4,S,0
3,male,32.6,0,2,34.26,C,0
1,male,36.0,0,0,65.95,S,1
1,male,,0,0,77.35,S,1
1,female,47.6,1,0,67.37,Q,1
3,female,14.2,0,0,34.22,S,1
1,female,,0,0,72.77,S,1
1,female,47.0,0,2,91.68,S,1
3,male,3.9,2,0,54.26,S,0
1,female,34.3,0,0,68.0,S,0
3,male,22.4,0,0,33.22,C,0
1,male,28.5,0,0,73.41,S,0
1,female,34.7,1,0,67.96,C,1
2,male,22.6,4,0,73.83,Q,1
3,female,19.9,0,0,47.11,S,0
